beınsport-beın sport
ailemsürekli-ailem sürekli
sevmiyoronu-sevmiyor onu
sonraiki-sonra iki
yoohee-yoo hee
kokarağaç-kokar ağaç
askfm-ask fm
yapmadızaten-yapmadı zaten
matise-mat ise
sayınvekilim-sayın vekilim
genelmerkezine-genel merkezine
esragül-esra gül
bunuaçıkça-bunu açıkça
okulunikinci-okulun ikinci
hemenbir-hemen bir
dünyasınabir-dünyasına bir
kırkbeşinci-kırk beşinci
greenkart-green kart
hilalcan-hilal can
vesanayi-ve sanayi
faikcan-faik can
megaprojelerimiz-mega projelerimiz
bileolmadı-bile olmadı
anasponsor-ana sponsor
benkendim-ben kendim
biyanlışlık-bi yanlışlık
ruhemiciler-ruh emiciler
anlıkmesajlaşma-anlık mesajlaşma
turbodaily-turbo daily
manunited-man united
yanlızbaşıma-yanlız başıma
fotokapan-foto kapan
duranadamlar-duran adamlar
tatlıcadı-tatlı cadı
köşeyazarından-köşe yazarından
gibideğil-gibi değil
herhalükarda-her halükarda
itüsözlükte-itü sözlükte
yaralıyüz-yaralı yüz
çatalyürek-çatal yürek
köyevinde-köy evinde
abdülemir-abdül emir
ilgiçeken-ilgi çeken
burasibir-burasi bir
iktidarmuhalefet-iktidar muhalefet
banaonu-bana onu
fesholması-fesh olması
hümeyraakbay-hümeyra akbay
nologo-no logo
derneklerarası-dernekler arası
tokatmı-tokat mı
bozyap-boz yap
muradiyesarnıç-muradiye sarnıç
ödemeliara-ödemeli ara
—mustafa-— mustafa
şeyoluyor-şey oluyor
bokçuvalları-bok çuvalları
güçlerarası-güçler arası
saçayağı-saç ayağı
gürselspor-gürsel spor
yalımahallesi-yalı mahallesi
anlaama-anla ama
yettigari-yetti gari
vesadece-ve sadece
kudüsisrail-kudüs israil
plajyoluna-plaj yoluna
mezitlikart-mezitli kart
pınaraltuğ-pınar altuğ
şikayetkaydı-şikayet kaydı
bilgeadamı-bilge adamı
aldattımı-aldattı mı
neyapmış-ne yapmış
beyingöçü-beyin göçü
okuldışı-okul dışı
yapraksarması-yaprak sarması
korucubaşının-korucu başının
sütürünü-süt ürünü
fazlaama-fazla ama
sizyeni-siz yeni
çabukbir-çabuk bir
daireiçine-daire içine
urfaarasında-urfa arasında
pirinçsuyu-pirinç suyu
yakonu-yak onu
başikave-başika ve
yarıdeğerli-yarı değerli
unutmasen-unutma sen
eklenemezmi-eklenemez mi
duygusalbir-duygusal bir
tahminederim-tahmin ederim
cumartesiöğle-cumartesi öğle
hisher-his her
bukanunun-bu kanunun
orospucocukları-orospu cocukları
galipdede-galip dede
türklermi-türkler mi
karenbana-karen bana
monarıza-mona rıza
yoohoo-yoo hoo
genelbaşkanlığa-genel başkanlığa
çoktehlikeli-çok tehlikeli
hondamı-honda mı
değilimve-değilim ve
içinuzun-için uzun
oldsun-old sun
birihaline-biri haline
batuahmet-batu ahmet
caferoğlu-cafer oğlu
sözüve-sözü ve
seksiseksi-seksi seksi
msınıfı-m sınıfı
benimkızım-benim kızım
kozapark-koza park
kaçaksarayda-kaçak sarayda
arabaylagezmeye-arabayla gezmeye
cehennemağzı-cehennem ağzı
bikonuda-bi konuda
fasbir-fas bir
şansver-şans ver
gercekdısı-gercek dısı
jenmi-jen mi
milkshake-milk shake
maddebağımlıları-madde bağımlıları
sırano-sıra no
azkalmış-az kalmış
bihal-bi hal
urfatürküleri-urfa türküleri
geleneve-gelene ve
bluewater-blue water
kimdedi-kim dedi
kalanbir-kalan bir
lideranastasiadis-lider anastasiadis
internetsiteleri-internet siteleri
easygo-easy go
ıncile-ınc ile
airwaves-air waves
hyunsook-hyun sook
yıllıktahvil-yıllık tahvil
enazından-en azından
arıkeki-arı keki
göçmentürk-göçmen türk
kolayhem-kolay hem
blackmamba-black mamba
hiçkimseonu-hiçkimse onu
kıyafetsatın-kıyafet satın
banateşekkür-bana teşekkür
hopaşinanay-hopa şinanay
seydiye-sey diye
çiftyol-çift yol
edileceğibelirtilmişti-edileceği belirtilmişti
yikyung-yi kyung
dvdçalar-dvd çalar
anadoluparsı-anadolu parsı
hanibunun-hani bunun
antiterörist-anti terörist
heraldeyada-heralde yada
ılkokulu-ılk okulu
zamangelecek-zaman gelecek
yazıksize-yazık size
oldfashion-old fashion
üçgünden-üç günden
olacakyeni-olacak yeni
onbinleri-on binleri
onbinlere-on binlere
bondstreet-bond street
gaziantepdeki-gaziantepde ki
belirginhale-belirgin hale
detürkiye-de türkiye
thewolf-the wolf
konularakher-konularak her
çekimdeğil-çekim değil
sevedildi-sev edildi
meslekiaçıköğretim-mesleki açıköğretim
salakmısınız-salak mısınız
mümtazertürköne-mümtazer türköne
çünkühep-çünkü hep
grupbu-grup bu
biriolarak-biri olarak
düşüncesuçlusu-düşünce suçlusu
redpill-red pill
yaşlandımdiye-yaşlandım diye
etliekmekte-etli ekmekte
akdenizateşi-akdeniz ateşi
sorunuolarak-sorunu olarak
adınıunuttum-adını unuttum
herkeseiyi-herkese iyi
dağmedya-dağ medya
birbirleriniikna-birbirlerini ikna
elliyıl-elli yıl
teorisimi-teorisi mi
öğrencisigibi-öğrencisi gibi
modellerarası-modeller arası
hoşseda-hoş seda
superuser-super user
eksikolabilir-eksik olabilir
ulusalkriminal-ulusal kriminal
gözdoktoruna-göz doktoruna
gitmiyorumdedi-gitmiyorum dedi
seyok-se yok
faustmu-faust mu
haftasıolarak-haftası olarak
alevsızdırmaz-alev sızdırmaz
sırlarınve-sırların ve
skystar-sky star
karapropagandaya-kara propagandaya
olacağınıtahmin-olacağını tahmin
pesetti-pes etti
sınıfbaşkanı-sınıf başkanı
malsahiplerine-mal sahiplerine
fransızöpücüğü-fransız öpücüğü
minhye-min hye
kombiustası-kombi ustası
zümrütgözlü-zümrüt gözlü
duşakabinin-duşa kabinin
güreşseverlere-güreş severlere
golfbu-golf bu
yapmakvarken-yapmak varken
grikurt-gri kurt
güreşseverleri-güreş severleri
gaptarım-gap tarım
elbethak-elbet hak
demeknasıl-demek nasıl
kültürolarak-kültür olarak
barbu-bar bu
oadam-o adam
şeysöylemem-şey söylemem
sağlıkçok-sağlık çok
ılieve-ılie ve
türkislam-türk islam
değilimçok-değilim çok
heryönüyle-her yönüyle
çalışanbelediye-çalışan belediye
vargibi-var gibi
etmezyani-etmez yani
milyondoları-milyon doları
yerburası-yer burası
görünmezbir-görünmez bir
kışlaönüne-kışla önüne
teknikadamlık-teknik adamlık
sokakkitapları-sokak kitapları
haltetmişim-halt etmişim
parkoran-park oran
gözgezdirdim-göz gezdirdim
yakınmesafe-yakın mesafe
hanmı-han mı
royalmega-royal mega
makropolitik-makro politik
sedattekin-sedat tekin
açıkyeşil-açık yeşil
eyeni-e yeni
madoevinde-mado evinde
catscan-cat scan
çaybahçesinden-çay bahçesinden
simkarta-sim karta
iklimve-iklim ve
durumdailk-durumda ilk
sinesen-sine sen
kumköpekbalıkları-kum köpekbalıkları
olanlaronlar-olanlar onlar
yanodadan-yan odadan
yaniben-yani ben
ortamdakendi-ortamda kendi
bunuyapacak-bunu yapacak
kişininkendisine-kişinin kendisine
metazoru-meta zoru
çantaolduğu-çanta olduğu
ışıklarıiçin-ışıkları için
bluebay-blue bay
hayatdenen-hayat denen
gidiyoruzdiye-gidiyoruz diye
hacıilbey-hacı ilbey
allahaşkına-allah aşkına
hadiyaa-hadi yaa
kazanıyorumdiyen-kazanıyorum diyen
kandökülmeden-kan dökülmeden
yararlarıolduğunu-yararları olduğunu
kaçolursa-kaç olursa
konusundanasıl-konusunda nasıl
gillise-gill ise
veyabancı-ve yabancı
şimdideğil-şimdi değil
hamzacan-hamza can
köseömer-köse ömer
içinbazı-için bazı
vaadedilenler-vaad edilenler
keyödemeleri-key ödemeleri
türkiye- türkiye
edeceksinki-edeceksin ki
hergünşehit-hergün şehit
biletiiçin-bileti için
handong-han dong
apartmanaltı-apartman altı
iiçin-i için
yylarda-yy larda
passoligmi-passolig mi
gününsözü-günün sözü
yeryerinden-yer yerinden
ondansöz-ondan söz
girmişdiye-girmiş diye
amabunlar-ama bunlar
gösterengrup-gösteren grup
garkolmak-gark olmak
uranyumoksit-uranyum oksit
zenginlerve-zenginler ve
başakim-başa kim
denededim-dene dedim
sayıvar-sayı var
fotoröportaj-foto röportaj
süsbitkileri-süs bitkileri
olabilirmiki-olabilirmi ki
dreamlife-dream life
hanno-han no
söylesana-söyle sana
samankafalı-saman kafalı
moğolmu-moğol mu
dakendi-da kendi
datatraveler-data traveler
fındıkfaresi-fındık faresi
pesiçin-pes için
haberbültenlerine-haber bültenlerine
mühendismurat-mühendis murat
bahrül-bahr ül
istemişmi-istemiş mi
neyaparsa-ne yaparsa
anadolukartalı-anadolu kartalı
elkonulacak-el konulacak
simkartı-sim kartı
uçaktailk-uçakta ilk
atkendini-at kendini
allstara-all stara
missüt-mis süt
nesiçin-nes için
teson-te son
kadirhasın-kadir hasın
bilinmeyenşahıs-bilinmeyen şahıs
yokşu-yok şu
birisimi-birisi mi
çokönem-çok önem
koşubandının-koşu bandının
biryervar-biryer var
şakagünü-şaka günü
westbank-west bank
yarışseverler-yarış severler
alışkanlıkmı-alışkanlık mı
icadedilmedi-icad edilmedi
cgrubunda-c grubunda
karınağrısıdır-karın ağrısıdır
eldeedebilecek-elde edebilecek
birşeyolabilir-birşey olabilir
tangotango-tango tango
kabirazabının-kabir azabının
ofisboy-ofis boy
jessicasana-jessica sana
görevtazminatı-görev tazminatı
ilhamiaydın-ilhami aydın
siyahkırmızı-siyah kırmızı
yalansöyler-yalan söyler
esmerdiye-esmer diye
kararındaaihm-kararında aihm
thenational-the national
efendimsiz-efendim siz
sizive-sizi ve
orandatürk-oranda türk
adıtürk-adı türk
akpkurmayları-akp kurmayları
uzaylıinsan-uzaylı insan
abidali-abid ali
amywinehouse-amy winehouse
tatlımçok-tatlım çok
destekolsun-destek olsun
kuzeylikadın-kuzeyli kadın
older-ol der
yaramazve-yaramaz ve
yanındakiise-yanındaki ise
dişfırçasıyla-diş fırçasıyla
araçlardakoltuk-araçlarda koltuk
ayıpsana-ayıp sana
ikiyüzelli-ikiyüz elli
gözümyolda-gözüm yolda
kodadım-kod adım
automotion-auto motion
verdiyor-ver diyor
elşeyh-el şeyh
lucymi-lucy mi
internetsitelerini-internet sitelerini
hanji-han ji
ılkanda-ılk anda
gameshow-game show
süstaşı-süs taşı
ajanstürk-ajans türk
süperkahramanların-süper kahramanların
gunki-gun ki
jinjin-jin jin
yerdebulamadım-yerde bulamadım
kanalankara-kanal ankara
açkaldık-aç kaldık
vergiödeme-vergi ödeme
oyunuoynamak-oyunu oynamak
ihtiyaçlarınıkarşılamak-ihtiyaçlarını karşılamak
gerekolmayan-gerek olmayan
nerdediye-nerde diye
çizgikahraman-çizgi kahraman
coğrafisınırlama-coğrafi sınırlama
senisevmek-seni sevmek
nickaltları-nick altları
atabulvarı-ata bulvarı
eekim-ee kim
sidiye-si diye
ellibeşinci-elli beşinci
yamaçevlerin-yamaç evlerin
zamangeçti-zaman geçti
töreniçin-tören için
elnino-el nino
yaşamdolu-yaşam dolu
donmu-don mu
etkilenecekve-etkilenecek ve
aptalmı-aptal mı
siyasetadamının-siyaset adamının
keycode-key code
farklıolarak-farklı olarak
halkpazarı-halk pazarı
baskıaltındayım-baskı altındayım
eçıktı-e çıktı
yılmazerdoğan-yılmaz erdoğan
yüzelli-yüz elli
lifeless-life less
arasındayer-arasında yer
timakademi-tim akademi
abdtarafından-abd tarafından
özbaba-öz baba
verdiğihabere-verdiği habere
martineden-martin eden
uğraşbul-uğraş bul
ibrahimgibi-ibrahim gibi
hertürk-her türk
bluehouse-blue house
cemyılmazın-cem yılmazın
yazsonunda-yaz sonunda
işkazaları-iş kazaları
hakveren-hak veren
lostadasına-lost adasına
odtümakine-odtü makine
yokturdiye-yoktur diye
özgüradam-özgür adam
lağımağızlı-lağım ağızlı
uluslararasıilişkiler-uluslararası ilişkiler
evetdemek-evet demek
ebekızı-ebe kızı
çınarlıspor-çınarlı spor
sürüsaçmalık-sürü saçmalık
musasow-musa sow
yokdemektir-yok demektir
kardeşolan-kardeş olan
yoldakaldık-yolda kaldık
iyibilirler-iyi bilirler
gayettabi-gayet tabi
donot-do not
kesimindekibir-kesimindeki bir
dereüstü-dere üstü
yapıldıise-yapıldı ise
datamed-data med
hitgirl-hit girl
ortamesafe-orta mesafe
motorsporlarının-motor sporlarının
yardımcısıali-yardımcısı ali
sorularsorma-sorular sorma
birisiniöldürmek-birisini öldürmek
görüşsahibi-görüş sahibi
yürübeee-yürü beee
doğuyabakın-doğuya bakın
airrace-air race
betabı-b etabı
yanibir-yani bir
ağören-ağ ören
içinkendi-için kendi
yeneden-ye neden
şartolduğunu-şart olduğunu
delidiye-deli diye
gölevlerinde-göl evlerinde
bacakarama-bacak arama
bosbir-bos bir
gerikaldı-geri kaldı
esgeçmişsin-es geçmişsin
kanbir-kan bir
amfitiyatroda-amfi tiyatroda
çatışmalardabazı-çatışmalarda bazı
haydidışarı-haydi dışarı
sükutuhayal-sükutu hayal
diştelleri-diş telleri
gatesmi-gates mi
eryamanmı-eryaman mı
genişalanlara-geniş alanlara
büyükşehirlerde-büyük şehirlerde
ölmüşdiye-ölmüş diye
perezmi-perez mi
sodastream-soda stream
onuryılmaz-onur yılmaz
biletiçin-bilet için
etkombinası-et kombinası
normaldebunu-normalde bunu
bennasıl-ben nasıl
kisen-ki sen
bellibi-belli bi
cahilise-cahil ise
metadünyalılar-meta dünyalılar
elkadı-el kadı
kankokusu-kan kokusu
moonmu-moon mu
atmmi-atm mi
kayısıbirlik-kayısı birlik
hitkitap-hit kitap
zekicebir-zekice bir
kozanlıömer-kozanlı ömer
ilüzyonmu-ilüzyon mu
hasippaşa-hasip paşa
önümüzdekihaftalarda-önümüzdeki haftalarda
oriçin-or için
jetblue-jet blue
mahkemedebeni-mahkemede beni
altısıfır-altı sıfır
leechar-lee char
ilişkinözel-ilişkin özel
yarınher-yarın her
superkahraman-super kahraman
açısındanbazı-açısından bazı
naipköyü-naip köyü
bubizim-bu bizim
kendisininiki-kendisinin iki
postpost-post post
mücadeleekiplerinin-mücadele ekiplerinin
içindenbir-içinden bir
biaraç-bi araç
ikieski-iki eski
isbankasi-is bankasi
yaşamkoçluğu-yaşam koçluğu
tarafındanyoğun-tarafından yoğun
dlclerde-dlc lerde
seniözledim-seni özledim
adamçok-adam çok
sankionun-sanki onun
accesshollywood-access hollywood
ikinciyarının-ikinci yarının
olmakdemek-olmak demek
tamyıl-tam yıl
sevgiliolarak-sevgili olarak
ömerpaşa-ömer paşa
yaşındaidi-yaşında idi
minhee-min hee
kızılayamı-kızılaya mı
beratcan-berat can
borçok-bor çok
powerturk-power turk
kralınkızı-kralın kızı
hüseyinyıldız-hüseyin yıldız
orasısana-orası sana
amabiraz-ama biraz
flyme-fly me
osenin-o senin
bizitek-bizi tek
benimşu-benim şu
demekçok-demek çok
stalindiye-stalin diye
telefonununuzun-telefonunun uzun
lilymi-lily mi
muratözdemir-murat özdemir
inananve-inanan ve
muiyi-mu iyi
amaolmadı-ama olmadı
bizibize-bizi bize
hemdetürkiye-hemde türkiye
aşçıdede-aşçı dede
kayıpoluyor-kayıp oluyor
olduğudüşünülen-olduğu düşünülen
klimaetkisi-klima etkisi
debkafiles-debka files
lazuşağı-laz uşağı
umutkaya-umut kaya
sarıkamışharekatının-sarıkamış harekatının
bigal-big al
zaferimilli-zaferi milli
amabüyük-ama büyük
azgınkız-azgın kız
köylüköyünde-köylü köyünde
bioçeşitliliği-bio çeşitliliği
sporbakanı-spor bakanı
oğlançocukları-oğlan çocukları
bunlarsizin-bunlar sizin
abiiyi-abi iyi
çıkışile-çıkış ile
geliyorbir-geliyor bir
mustafasönmez-mustafa sönmez
hakvereceksiniz-hak vereceksiniz
gözboyamak-göz boyamak
sanatek-sana tek
işbiraz-iş biraz
tatlımtatlım-tatlım tatlım
abuhayat-abu hayat
kimidiyor-kimi diyor
boyve-boy ve
ömrümüyediniz-ömrümü yediniz
coksevindim-cok sevindim
biztürk-biz türk
izmirdeiyi-izmirde iyi
gıcıkkız-gıcık kız
haksahipleriyle-hak sahipleriyle
amaişte-ama işte
pekçoğumuz-pek çoğumuz
hayhak-hay hak
müzikbir-müzik bir
biragöbekli-bira göbekli
portise-port ise
maxiçin-max için
çetesimi-çetesi mi
asmerkezin-as merkezin
bendeyaşadım-bende yaşadım
geneve-gene ve
sonrahiç-sonra hiç
manmega-man mega
slimjim-slim jim
ağacıdiye-ağacı diye
hdhdir-hdh dir
mohorizons-mo horizons
sivrizekâ-sivri zekâ
müzedemi-müzede mi
ehsen-eh sen
mehmetözkan-mehmet özkan
geyikdağı-geyik dağı
terimile-terim ile
etmekistedim-etmek istedim
bellile-bell ile
tamamiyi-tamam iyi
amedspor-amed spor
kabuledemem-kabul edemem
sençok-sen çok
çirkinmi-çirkin mi
ortasahasının-orta sahasının
şeyolması-şey olması
elevermiş-ele vermiş
busadece-bu sadece
kaçtanesini-kaç tanesini
hazetmiyorlar-haz etmiyorlar
birisibir-birisi bir
otyığını-ot yığını
dindersine-din dersine
çokluevrenin-çoklu evrenin
çeşmebaşı-çeşme başı
alisuat-ali suat
isbankası-is bankası
zeytinyağ-zeytin yağ
doğruolduğuna-doğru olduğuna
katlıpazar-katlı pazar
ırkçımilliyetçi-ırkçı milliyetçi
depek-de pek
hyunah-hyun ah
domar-do mar
yasaltı-yas altı
aslıaydıntaşbaş-aslı aydıntaşbaş
gezenbirisi-gezen birisi
housemu-house mu
viteskutusu-vites kutusu
özlemduymak-özlem duymak
neyapmamız-ne yapmamız
adıgeçenler-adı geçenler
sizkim-siz kim
seviyorumdemek-seviyorum demek
kökboğazı-kök boğazı
rockfest-rock fest
yağmuradam-yağmur adam
özgüray-özgür ay
trtokul-trt okul
htcmi-htc mi
uygurtim-uygur tim
erdoğanmı-erdoğan mı
yapılacakbir-yapılacak bir
postprodüksiyonu-post prodüksiyonu
eksözleşme-ek sözleşme
sanaihtiyacım-sana ihtiyacım
memnunmusunuz-memnun musunuz
beyazgüvercin-beyaz güvercin
odamızmı-odamız mı
bencesorun-bence sorun
mercedesmi-mercedes mi
bazile-baz ile
diyenmi-diyen mi
imolsa-im olsa
dlclerle-dlc lerle
yüzbinden-yüz binden
pydpkk-pyd pkk
dadevam-da devam
aöfmü-aöf mü
biradım-bir adım
haltetmişlerdir-halt etmişlerdir
çocuklargibi-çocuklar gibi
kızımben-kızım ben
ölmekmi-ölmek mi
pervinbuldan-pervin buldan
kaçyaşındasın-kaç yaşındasın
akademiçok-akademi çok
biliyorumçok-biliyorum çok
kötühaber-kötü haber
iğrençadam-iğrenç adam
potterseverler-potter severler
birdurumda-bir durumda
edgein-ed gein
orospuço-orospu ço
anatemasını-ana temasını
uzimi-uzi mi
vebenim-ve benim
durdurmakiçin-durdurmak için
benneden-ben neden
yolsuzlukkarşıtı-yolsuzluk karşıtı
yokmuşama-yokmuş ama
düzenliordu-düzenli ordu
acıçektirmek-acı çektirmek
müsen-mü sen
artıkdaha-artık daha
lilyve-lily ve
blueair-blue air
birisibu-birisi bu
şovkızları-şov kızları
sadecedaha-sadece daha
dünyapılan-dün yapılan
içindoğru-için doğru
önsırada-ön sırada
onarmakmı-onarmak mı
kabulederseniz-kabul ederseniz
küretv-küre tv
genetikbilim-genetik bilim
tenile-ten ile
akpiçinde-akp içinde
eşiktaşı-eşik taşı
sakalışerifi-sakalı şerifi
heyaa-he yaa
canyakar-can yakar
canyakan-can yakan
cumhurbaşkanınınbunu-cumhurbaşkanının bunu
etvar-et var
•büyük-• büyük
melekolmak-melek olmak
ekmasraf-ek masraf
kanbankası-kan bankası
dinkardeşi-din kardeşi
kafaatmak-kafa atmak
öleolsun-öle olsun
şeyleryapmalıyız-şeyler yapmalıyız
boymu-boy mu
entrydir-entry dir
ellielli-elli elli
parlakgüneş-parlak güneş
zamanıve-zamanı ve
altıyüz-altı yüz
kartanesi-kar tanesi
bigbox-big box
sportcoupe-sport coupe
baybaşkan-bay başkan
kadınbasketbol-kadın basketbol
serverlarda-server larda
birisiçıkar-birisi çıkar
tencate-ten cate
geldedi-gel dedi
iyigüzel-iyi güzel
marietherese-marie therese
izmiremi-izmire mi
yolalmış-yol almış
örümcekadamın-örümcek adamın
filistinaskısı-filistin askısı
dananınkuyruğu-dananın kuyruğu
bokçuvalını-bok çuvalını
bayanmı-bayan mı
seferberlikçağrıları-seferberlik çağrıları
öğretmenlikyapmış-öğretmenlik yapmış
taşıyorve-taşıyor ve
meslekieğitim-mesleki eğitim
mahbile-mah bile
olacağınıbiliyorsun-olacağını biliyorsun
yenihükümet-yeni hükümet
zümrütkentte-zümrüt kentte
ohbeee-oh beee
onayapılan-ona yapılan
ozamanın-o zamanın
enkapsamlı-en kapsamlı
serverfiles-server files
karalistesine-kara listesine
suşişesi-su şişesi
başlayacağınısöyledi-başlayacağını söyledi
amaişin-ama işin
bigve-big ve
kampınageri-kampına geri
sınırötesindeki-sınır ötesindeki
mustafakemalin-mustafa kemalin
boğazgezisi-boğaz gezisi
yapanbirisi-yapan birisi
hintlibaba-hintli baba
vaadetmeden-vaad etmeden
usatın-u satın
tplaka-t plaka
eğitimbir-eğitim bir
eğerbu-eğer bu
udönüşünü-u dönüşünü
minguk-min guk
geridönüşümlü-geri dönüşümlü
ulusarası-ulus arası
söylehadi-söyle hadi
•yüksek-• yüksek
toplantıolacak-toplantı olacak
etkisöz-etki söz
yarışiçin-yarış için
israilile-israil ile
yoonchul-yoon chul
dongmei-dong mei
çağlanur-çağla nur
yüksekbasınç-yüksek basınç
kanıtvardır-kanıt vardır
seçimanketi-seçim anketi
serinkışın-serin kışın
veeve-vee ve
şimdiiyi-şimdi iyi
ayşenaz-ayşe naz
ekipteben-ekipte ben
şeyiyapmak-şeyi yapmak
reklamyok-reklam yok
başkayol-başka yol
cokvar-cok var
ekoservis-eko servis
maxmeyer-max meyer
bankaönünde-banka önünde
çaybahçelerinin-çay bahçelerinin
hiçyer-hiç yer
sosorun-so sorun
bifarkı-bi farkı
meksikaamerika-meksika amerika
tvbox-tv box
beşminare-beş minare
taraflararası-taraflar arası
kentineroket-kentine roket
badise-bad ise
kubilayhan-kubilay han
ilçedesağlık-ilçede sağlık
elevermek-ele vermek
işortaklığı-iş ortaklığı
yunusdemir-yunus demir
üzümbağları-üzüm bağları
güvenlikkomutanlığı-güvenlik komutanlığı
şirinkız-şirin kız
ülkertarhan-ülker tarhan
yüksekhızda-yüksek hızda
inelimdedi-inelim dedi
göreişlem-göre işlem
akademisipolis-akademisi polis
diyenbi-diyen bi
kökhücreler-kök hücreler
doğacakbu-doğacak bu
arkayoldan-arka yoldan
niğdegazozu-niğde gazozu
anlaşmışve-anlaşmış ve
patgüm-pat güm
organise-organ ise
dönenekadar-dönene kadar
mısırtarlasına-mısır tarlasına
dongman-dong man
allahtanki-allahtan ki
şehirgibi-şehir gibi
kedievini-kedi evini
görüşmelersona-görüşmeler sona
alttarafından-alt tarafından
housekeeping-house keeping
ayakfetişi-ayak fetişi
haberşu-haber şu
karşılığıolarak-karşılığı olarak
enginertan-engin ertan
çikolatalıpasta-çikolatalı pasta
gömlekve-gömlek ve
sivasarena-sivas arena
birimisilivri-birimi silivri
lütfenbeni-lütfen beni
yençok-yen çok
değişikolur-değişik olur
genetikbilimci-genetik bilimci
silopispor-silopi spor
kıztarafı-kız tarafı
öylebu-öyle bu
yereltv-yerel tv
yanıkkapı-yanık kapı
uygulamaolmadığını-uygulama olmadığını
taşlıtarla-taşlı tarla
kemalçevik-kemal çevik
işeyaramazlar-işe yaramazlar
birazcıkdaha-birazcık daha
alayköşkü-alay köşkü
kademelerarası-kademeler arası
coktatlı-cok tatlı
oniki-on iki
içinbaşka-için başka
yveya-y veya
ısyerıne-ıs yerıne
kuleplaza-kule plaza
oluryani-olur yani
gecebekçisi-gece bekçisi
aitolan-ait olan
buçuksaat-buçuk saat
denizfenerinin-deniz fenerinin
kırşehri-kır şehri
keşkeseni-keşke seni
korunmaevleri-korunma evleri
kurufasulyede-kuru fasulyede
höyüktepe-höyük tepe
billybilly-billy billy
kitleyitakip-kitleyi takip
ayakbileğinde-ayak bileğinde
bubenim-bu benim
katıyakıtlı-katı yakıtlı
saatbaşına-saat başına
cepbilgisayarı-cep bilgisayarı
bişedemem-bişe demem
artniyetinin-art niyetinin
ısise-ıs ise
eneden-e neden
greenpower-green power
süresizdönüşümsüz-süresiz dönüşümsüz
bununyanı-bunun yanı
karşılıklıiptal-karşılıklı iptal
şimdiise-şimdi ise
surdibinde-sur dibinde
bordoruj-bordo ruj
ladybird-lady bird
iyisiiçin-iyisi için
azerikızı-azeri kızı
konteynerkentin-konteyner kentin
yapmakistiyorsa-yapmak istiyorsa
oderece-o derece
mckare-mc kare
esasnolu-esas nolu
biprogram-bi program
ördekkasap-ördek kasap
clareile-clare ile
hanımköylü-hanım köylü
promu-pro mu
adıbir-adı bir
alidibo-ali dibo
olmusmuydu-olmus muydu
ototerminali-oto terminali
enddi-end di
yatakodanızı-yatak odanızı
kuvak-ku vak
haburada-ha burada
spadına-sp adına
eğerki-eğer ki
larryve-larry ve
birdeöyle-birde öyle
hindiburger-hindi burger
beleşkart-beleş kart
chpmhp-chp mhp
kadarerken-kadar erken
kurtarılanadam-kurtarılan adam
götürürümdedi-götürürüm dedi
bugüntüm-bugün tüm
elligram-elli gram
ediciolduğunu-edici olduğunu
benımkadar-benım kadar
çokhoşuma-çok hoşuma
talkşovlara-talk şovlara
biziminsanımız-bizim insanımız
kendiiçlerinde-kendi içlerinde
sıraak-sıra ak
sevseni-sev seni
flamengotakımında-flamengo takımında
senvarsın-sen varsın
bırakmakzor-bırakmak zor
varımdedim-varım dedim
blogdünyası-blog dünyası
ikimilyon-iki milyon
istanbulankara-istanbul ankara
derizbir-deriz bir
bootlogo-boot logo
worldnews-world news
aşkkitabı-aşk kitabı
türkpop-türk pop
toptop-top top
enasıl-e nasıl
sehirdisi-sehir disi
değilimbu-değilim bu
çoküzgünüm-çok üzgünüm
havaikmal-hava ikmal
fetöcümüdür-fetöcü müdür
moyan-mo yan
masonmu-mason mu
bunlarsenin-bunlar senin
kazınanerdal-kazınan erdal
velhasılı-vel hasılı
yarımkalan-yarım kalan
smithmi-smith mi
polisiyeseverler-polisiye severler
sayınhüseyin-sayın hüseyin
cinselsuçların-cinsel suçların
vipservis-vip servis
zorbela-zor bela
bikonu-bi konu
herkesönce-herkes önce
ilkyarısını-ilk yarısını
gündeğil-gün değil
silvershadow-silver shadow
payölçer-pay ölçer
bayanlarmı-bayanlar mı
başkayerlere-başka yerlere
naise-na ise
öküzkuyruğu-öküz kuyruğu
joiyi-jo iyi
tabanfiyatlarıyla-taban fiyatlarıyla
demirve-demir ve
iddamı-idda mı
deniztuzu-deniz tuzu
bakdiye-bak diye
aykırısorular-aykırı sorular
ağambeni-ağam beni
değildebugün-değilde bugün
kulaspor-kula spor
istiyorumki-istiyorum ki
halabi-hala bi
ilmüdürü-il müdürü
çokkomik-çok komik
güvenlikpaketi-güvenlik paketi
şeriatmı-şeriat mı
hillhouse-hill house
şimdiilk-şimdi ilk
duckhunt-duck hunt
böcekadam-böcek adam
yandaşyalaka-yandaş yalaka
soyad-soy ad
yaarkadaşlar-ya arkadaşlar
başkabirini-başka birini
başkabirine-başka birine
sağıretti-sağır etti
jinsoon-jin soon
aynenböyle-aynen böyle
vearaştırma-ve araştırma
sizeiyi-size iyi
tanığıolarak-tanığı olarak
kıllıbacak-kıllı bacak
şimdiiki-şimdi iki
çoktatlı-çok tatlı
hanımteyze-hanım teyze
şuhalde-şu halde
mucizeadam-mucize adam
aktifpasif-aktif pasif
veilk-ve ilk
allahuallah-allahu allah
etmekpek-etmek pek
seferbey-sefer bey
